filename,k,freq_hz,magnitude,width_hz,noise_floor,snr
B_S2_D1_068-bebop_000_.wav,8,344.9769,1.10E+02,37.1094,7.29E+01,1.5117
B_S2_D1_068-bebop_000_.wav,9,383.7891,9.94E+01,27.3438,6.10E+01,1.6301
B_S2_D1_068-bebop_000_.wav,10,430.34,1.07E+02,33.2031,4.21E+01,2.5516
B_S2_D1_068-bebop_001_.wav,1,69.0708,5.12E+02,20.5078,1.27E+02,4.0489
B_S2_D1_068-bebop_001_.wav,2,140.2888,1.02E+02,37.1094,7.20E+01,1.4127
B_S2_D1_068-bebop_001_.wav,3,208.8018,1.30E+02,37.1094,5.07E+01,2.5625
B_S2_D1_068-bebop_001_.wav,4,278.4879,2.98E+01,32.2266,2.57E+01,1.1588
B_S2_D1_068-bebop_001_.wav,5,345.487,2.35E+01,2.9297,1.73E+01,1.3618
B_S2_D1_068-bebop_001_.wav,6,416.9567,4.77E+01,1.9531,1.79E+01,2.6616
B_S2_D1_068-bebop_001_.wav,7,486.5048,6.21E+00,33.2031,5.82E+00,1.0677
B_S2_D1_068-bebop_001_.wav,8,551.7578,6.41E+00,32.2266,4.76E+00,1.3462
B_S2_D1_068-bebop_001_.wav,9,624.7638,9.47E+00,36.1328,3.74E+00,2.5357
B_S2_D1_068-bebop_001_.wav,10,693.5173,4.49E+00,0.9766,3.83E+00,1.1713
B_S2_D1_068-bebop_002_.wav,1,62.6816,2.02E+02,22.4609,4.19E+01,4.8273
B_S2_D1_068-bebop_002_.wav,2,125.1099,5.70E+01,39.0625,4.00E+01,1.4252
B_S2_D1_068-bebop_002_.wav,3,186.7361,3.56E+01,39.0625,2.80E+01,1.2704
B_S2_D1_068-bebop_002_.wav,4,250.5971,1.65E+01,29.2969,1.16E+01,1.4225
B_S2_D1_068-bebop_002_.wav,5,315.4297,8.58E+00,35.1562,8.62E+00,0.9959
B_S2_D1_068-bebop_002_.wav,6,377.9297,5.72E+01,14.6484,1.30E+01,4.4001
B_S2_D1_068-bebop_002_.wav,7,437.3827,1.21E+01,24.4141,6.60E+00,1.8282
B_S2_D1_068-bebop_002_.wav,8,501.7985,7.33E+00,37.1094,3.25E+00,2.2529
B_S2_D1_068-bebop_002_.wav,9,561.6567,8.78E+00,22.4609,2.93E+00,2.9958
B_S2_D1_068-bebop_002_.wav,10,627.9297,4.01E+00,6.8359,2.81E+00,1.4272
B_S2_D1_068-bebop_003_.wav,1,48.6077,1.92E+02,1.9531,1.91E+01,10.0601
B_S2_D1_068-bebop_003_.wav,2,98.4619,2.53E+01,8.7891,1.94E+01,1.3041
B_S2_D1_068-bebop_003_.wav,3,143.5547,2.94E+01,8.7891,8.98E+00,3.2714
B_S2_D1_068-bebop_003_.wav,4,196.1956,9.82E+00,17.5781,4.48E+00,2.1936
B_S2_D1_068-bebop_003_.wav,5,245.0593,8.00E+00,27.3438,3.55E+00,2.2553
B_S2_D1_068-bebop_003_.wav,6,290.0391,6.59E+00,15.625,2.32E+00,2.8422
B_S2_D1_068-bebop_003_.wav,7,342.3802,2.39E+00,21.4844,2.09E+00,1.1434
B_S2_D1_068-bebop_003_.wav,8,387.6953,2.18E+01,2.9297,1.22E+01,1.7908
B_S2_D1_068-bebop_003_.wav,9,437.4831,2.36E+01,6.8359,4.80E+00,4.9221
B_S2_D1_068-bebop_003_.wav,10,487.112,3.85E+00,35.1562,2.20E+00,1.7532
B_S2_D1_068-bebop_004_.wav,1,48.7777,1.84E+02,1.1161,1.44E+01,12.7493
B_S2_D1_068-bebop_004_.wav,2,99.7628,3.73E+01,17.8571,1.12E+01,3.3353
B_S2_D1_068-bebop_004_.wav,3,148.2246,5.83E+00,14.5089,3.98E+00,1.4653
B_S2_D1_068-bebop_004_.wav,4,199.7768,4.63E+00,31.25,2.05E+00,2.2563
B_S2_D1_068-bebop_004_.wav,5,248.8839,6.05E+00,18.9732,2.03E+00,2.9784
B_S2_D1_068-bebop_004_.wav,6,297.9911,6.09E+00,18.9732,2.03E+00,3.0041
B_S2_D1_068-bebop_004_.wav,7,341.4757,5.30E+00,22.3214,2.73E+00,1.9396
B_S2_D1_068-bebop_004_.wav,8,396.2054,2.14E+02,4.4643,1.08E+01,19.7931
B_S2_D1_068-bebop_004_.wav,9,439.7321,5.82E+00,3.3482,3.30E+00,1.7627
B_S2_D1_068-bebop_004_.wav,10,492.0271,4.33E+00,35.7143,2.48E+00,1.7453
B_S2_D1_069-bebop_000_.wav,1,48.7156,2.51E+02,5.8594,1.57E+01,15.955
B_S2_D1_069-bebop_000_.wav,2,99.913,4.56E+01,38.0859,1.88E+01,2.4317
B_S2_D1_069-bebop_000_.wav,3,149.4141,3.95E+01,3.9062,5.86E+00,6.7313
B_S2_D1_069-bebop_000_.wav,4,192.951,4.35E+00,39.0625,3.18E+00,1.3678
B_S2_D1_069-bebop_000_.wav,5,243.1901,1.62E+01,5.8594,2.26E+00,7.1634
B_S2_D1_069-bebop_000_.wav,6,295.8984,1.46E+01,4.8828,2.08E+00,7.0019
B_S2_D1_069-bebop_000_.wav,7,341.8456,8.12E+00,4.8828,3.94E+00,2.063
B_S2_D1_069-bebop_000_.wav,8,389.8596,6.63E+00,38.0859,7.87E+00,0.8425
B_S2_D1_069-bebop_000_.wav,9,437.7117,2.37E+01,32.2266,6.57E+00,3.6145
B_S2_D1_069-bebop_000_.wav,10,491.2109,4.60E+00,32.2266,3.07E+00,1.5007
B_S2_D1_069-bebop_001_.wav,1,48.9632,8.11E+01,0.9766,5.48E+00,14.8007
B_S2_D1_069-bebop_001_.wav,2,100.0367,4.18E+01,36.1328,7.12E+00,5.8659
B_S2_D1_069-bebop_001_.wav,3,147.5526,2.68E+01,1.9531,2.76E+00,9.7286
B_S2_D1_069-bebop_001_.wav,4,193.3846,2.63E+00,23.4375,1.65E+00,1.5969
B_S2_D1_069-bebop_001_.wav,5,244.2666,1.69E+00,4.8828,1.58E+00,1.0674
B_S2_D1_069-bebop_001_.wav,6,295.345,1.63E+01,5.8594,2.34E+00,6.9825
B_S2_D1_069-bebop_001_.wav,7,344.7266,5.56E+01,20.5078,4.43E+00,12.5638
B_S2_D1_069-bebop_001_.wav,8,391.2697,4.56E+00,33.2031,6.40E+00,0.713
B_S2_D1_069-bebop_001_.wav,9,442.3828,5.76E+01,23.4375,6.22E+00,9.2576
B_S2_D1_069-bebop_001_.wav,10,485.3516,3.03E+00,34.1797,2.77E+00,1.0917
B_S2_D1_069-bebop_002_.wav,1,57.2276,2.96E+02,26.3672,6.28E+01,4.7182
B_S2_D1_069-bebop_002_.wav,2,116.5091,6.94E+01,33.2031,4.88E+01,1.4224
B_S2_D1_069-bebop_002_.wav,3,175.7812,5.22E+01,35.1562,2.80E+01,1.8622
B_S2_D1_069-bebop_002_.wav,4,227.5391,3.47E+01,29.2969,1.69E+01,2.0575
B_S2_D1_069-bebop_002_.wav,5,289.3982,1.25E+01,37.1094,1.03E+01,1.2111
B_S2_D1_069-bebop_002_.wav,6,344.9893,2.86E+01,31.25,1.02E+01,2.8216
B_S2_D1_069-bebop_002_.wav,7,401.0535,1.12E+01,38.0859,6.90E+00,1.63
B_S2_D1_069-bebop_002_.wav,8,458.0078,1.89E+01,4.8828,5.97E+00,3.1663
B_S2_D1_069-bebop_002_.wav,9,519.5018,4.63E+00,39.0625,2.97E+00,1.5583
B_S2_D1_069-bebop_002_.wav,10,573.2422,3.92E+00,30.2734,3.45E+00,1.1374
B_S2_D1_069-bebop_003_.wav,1,49.0189,1.06E+02,20.5078,1.72E+01,6.1766
B_S2_D1_069-bebop_003_.wav,2,99.6458,3.62E+01,30.2734,1.62E+01,2.2372
B_S2_D1_069-bebop_003_.wav,3,143.5547,1.67E+01,32.2266,9.20E+00,1.8132
B_S2_D1_069-bebop_003_.wav,4,198.2422,6.06E+00,31.25,3.73E+00,1.6241
B_S2_D1_069-bebop_003_.wav,5,247.0703,7.68E+00,19.5312,3.46E+00,2.2187
B_S2_D1_069-bebop_003_.wav,6,292.8891,6.92E+00,19.5312,2.48E+00,2.7934
B_S2_D1_069-bebop_003_.wav,7,339.7776,2.82E+00,34.1797,2.42E+00,1.1669
B_S2_D1_069-bebop_003_.wav,8,393.5547,6.69E+01,29.2969,1.01E+01,6.6443
B_S2_D1_069-bebop_003_.wav,9,436.5234,9.29E+00,3.9062,4.59E+00,2.0239
B_S2_D1_069-bebop_003_.wav,10,491.2109,2.00E+00,13.6719,2.73E+00,0.7343
B_S2_D1_069-bebop_004_.wav,1,53.864,1.48E+02,10.0446,2.16E+01,6.8381
B_S2_D1_069-bebop_004_.wav,2,110.4911,3.39E+01,20.0893,1.96E+01,1.7262
B_S2_D1_069-bebop_004_.wav,3,157.3661,1.99E+01,12.2768,6.39E+00,3.1077
B_S2_D1_069-bebop_004_.wav,4,210.9375,2.87E+00,31.25,2.71E+00,1.059
B_S2_D1_069-bebop_004_.wav,5,270.0893,1.26E+01,18.9732,3.89E+00,3.2381
B_S2_D1_069-bebop_004_.wav,6,322.9136,6.96E+00,35.7143,9.79E+00,0.7108
B_S2_D1_069-bebop_004_.wav,7,371.6518,2.79E+01,18.9732,1.03E+01,2.7241
B_S2_D1_069-bebop_004_.wav,8,430.8036,3.73E+01,27.9018,1.24E+01,2.9955
B_S2_D1_069-bebop_004_.wav,9,482.9947,8.58E+00,17.8571,5.60E+00,1.5334
B_S2_D1_069-bebop_004_.wav,10,537.7445,9.46E+00,37.9464,4.25E+00,2.2257
B_S2_D1_070-bebop_000_.wav,1,48.7478,2.58E+02,20.5078,4.64E+01,5.5597
B_S2_D1_070-bebop_000_.wav,2,100.5859,1.15E+02,18.5547,3.95E+01,2.9035
B_S2_D1_070-bebop_000_.wav,3,146.4637,4.40E+01,30.2734,2.27E+01,1.9415
B_S2_D1_070-bebop_000_.wav,4,194.4002,1.85E+01,22.4609,8.90E+00,2.0774
B_S2_D1_070-bebop_000_.wav,5,241.2109,7.17E+00,19.5312,5.45E+00,1.3163
B_S2_D1_070-bebop_000_.wav,6,292.9826,7.72E+00,10.7422,7.56E+00,1.0214
B_S2_D1_070-bebop_000_.wav,7,338.8672,2.82E+01,6.8359,7.36E+00,3.8274
B_S2_D1_070-bebop_000_.wav,8,393.5547,1.88E+00,38.0859,3.18E+00,0.5921
B_S2_D1_070-bebop_000_.wav,9,437.9546,4.00E+00,4.8828,4.59E+00,0.8709
B_S2_D1_070-bebop_000_.wav,10,491.2109,7.01E+01,11.7188,1.03E+01,6.8261
B_S2_D1_070-bebop_001_.wav,1,48.8459,9.17E+01,31.25,2.20E+01,4.1654
B_S2_D1_070-bebop_001_.wav,2,100.5859,3.71E+01,24.4141,1.81E+01,2.0489
B_S2_D1_070-bebop_001_.wav,3,144.5211,1.80E+01,7.8125,6.18E+00,2.9202
B_S2_D1_070-bebop_001_.wav,4,198.2422,4.85E+00,25.3906,2.39E+00,2.0264
B_S2_D1_070-bebop_001_.wav,5,242.1034,3.86E+00,29.2969,2.18E+00,1.7687
B_S2_D1_070-bebop_001_.wav,6,295.8984,2.59E+00,6.8359,2.09E+00,1.2434
B_S2_D1_070-bebop_001_.wav,7,343.6753,1.88E+01,19.5312,5.74E+00,3.2729
B_S2_D1_070-bebop_001_.wav,8,391.4189,1.04E+01,2.9297,1.91E+01,0.5438
B_S2_D1_070-bebop_001_.wav,9,439.1167,3.35E+01,21.4844,5.29E+00,6.3304
B_S2_D1_070-bebop_001_.wav,10,491.2109,1.57E+00,38.0859,2.31E+00,0.6802
B_S2_D1_070-bebop_002_.wav,1,48.8919,1.70E+02,0.9766,2.14E+00,79.5702
B_S2_D1_070-bebop_002_.wav,2,100.0511,3.47E+01,0.9766,4.04E+00,8.593
B_S2_D1_070-bebop_002_.wav,3,148.6768,9.72E+01,1.9531,2.04E+00,47.6968
B_S2_D1_070-bebop_002_.wav,4,198.2422,1.72E+00,9.7656,1.51E+00,1.1366
B_S2_D1_070-bebop_002_.wav,5,245.9167,3.83E+00,37.1094,1.89E+00,2.0282
B_S2_D1_070-bebop_002_.wav,6,294.9905,1.35E+01,26.3672,2.60E+00,5.2168
B_S2_D1_070-bebop_002_.wav,7,344.7266,1.80E+01,7.8125,6.38E+00,2.8197
B_S2_D1_070-bebop_002_.wav,8,391.6355,8.47E+00,37.1094,1.34E+01,0.6301
B_S2_D1_070-bebop_002_.wav,9,441.494,4.47E+01,20.5078,9.03E+00,4.953
B_S2_D1_070-bebop_002_.wav,10,488.6058,4.28E+00,37.1094,3.17E+00,1.3476
B_S2_D1_070-bebop_003_.wav,1,48.5779,1.93E+02,17.5781,2.23E+01,8.6737
B_S2_D1_070-bebop_003_.wav,2,100.5859,5.72E+01,20.5078,2.31E+01,2.4786
B_S2_D1_070-bebop_003_.wav,3,147.4633,4.44E+01,17.5781,8.61E+00,5.1588
B_S2_D1_070-bebop_003_.wav,4,198.2422,9.32E+00,36.1328,5.17E+00,1.8015
B_S2_D1_070-bebop_003_.wav,5,243.4043,3.28E+00,37.1094,3.28E+00,1
B_S2_D1_070-bebop_003_.wav,6,293.4114,1.04E+01,26.3672,2.74E+00,3.7726
B_S2_D1_070-bebop_003_.wav,7,343.0749,1.99E+00,38.0859,2.86E+00,0.6955
B_S2_D1_070-bebop_003_.wav,8,391.8376,6.14E+01,19.5312,1.66E+01,3.6999
B_S2_D1_070-bebop_003_.wav,9,440.6867,1.55E+01,19.5312,6.90E+00,2.2539
B_S2_D1_070-bebop_003_.wav,10,487.7624,2.14E+00,38.0859,2.64E+00,0.8113
B_S2_D1_070-bebop_004_.wav,1,49.6612,1.74E+02,22.3214,2.78E+01,6.2715
B_S2_D1_070-bebop_004_.wav,2,100.2575,5.08E+01,36.8304,2.63E+01,1.9324
B_S2_D1_070-bebop_004_.wav,3,150.6696,1.32E+01,21.2054,1.01E+01,1.3162
B_S2_D1_070-bebop_004_.wav,4,194.1964,7.15E+00,24.5536,3.98E+00,1.795
B_S2_D1_070-bebop_004_.wav,5,243.9948,5.08E+00,17.8571,2.82E+00,1.8018
B_S2_D1_070-bebop_004_.wav,6,291.2946,3.20E+00,29.0179,2.00E+00,1.5957
B_S2_D1_070-bebop_004_.wav,7,341.8787,4.97E+00,23.4375,2.04E+00,2.4383
B_S2_D1_070-bebop_004_.wav,8,396.2054,2.07E+02,6.6964,6.91E+00,29.9709
B_S2_D1_070-bebop_004_.wav,9,441.9005,4.99E+00,8.9286,2.90E+00,1.7199
B_S2_D1_070-bebop_004_.wav,10,494.4196,2.58E+00,12.2768,2.36E+00,1.0896
B_S2_D1_071-bebop_000_.wav,1,46.7649,5.16E+01,10.7422,6.56E+00,7.8639
B_S2_D1_071-bebop_000_.wav,2,90.8203,1.78E+01,0.9766,7.74E+00,2.2934
B_S2_D1_071-bebop_000_.wav,3,139.4632,1.31E+01,12.6953,2.94E+00,4.4674
B_S2_D1_071-bebop_000_.wav,4,188.761,2.00E+00,37.1094,1.07E+00,1.8666
B_S2_D1_071-bebop_000_.wav,5,233.6335,1.46E+00,8.7891,1.32E+00,1.106
B_S2_D1_071-bebop_000_.wav,6,279.185,6.68E+00,39.0625,1.44E+00,4.6289
B_S2_D1_071-bebop_000_.wav,7,325.1953,3.03E+00,30.2734,1.59E+00,1.908
B_S2_D1_071-bebop_000_.wav,8,377.9297,3.15E+01,10.7422,5.93E+00,5.3134
B_S2_D1_071-bebop_000_.wav,9,420.5605,4.18E+01,6.8359,7.99E+00,5.2266
B_S2_D1_071-bebop_000_.wav,10,465.8203,9.28E-01,39.0625,1.98E+00,0.4696
B_S2_D1_071-bebop_001_.wav,1,54.0437,2.42E+02,23.4375,3.50E+01,6.9231
B_S2_D1_071-bebop_001_.wav,2,108.4613,1.98E+01,32.2266,2.06E+01,0.9609
B_S2_D1_071-bebop_001_.wav,3,158.2031,1.72E+01,19.5312,1.04E+01,1.6488
B_S2_D1_071-bebop_001_.wav,4,217.7734,2.87E+00,31.25,3.34E+00,0.8599
B_S2_D1_071-bebop_001_.wav,5,269.2021,8.61E+00,39.0625,2.56E+00,3.3634
B_S2_D1_071-bebop_001_.wav,6,323.209,1.87E+00,39.0625,1.83E+00,1.0261
B_S2_D1_071-bebop_001_.wav,7,376.5922,8.15E+01,7.8125,7.64E+00,10.6625
B_S2_D1_071-bebop_001_.wav,8,427.7204,2.65E+01,1.9531,9.44E+00,2.8071
B_S2_D1_071-bebop_001_.wav,9,486.3281,2.35E+00,5.8594,2.26E+00,1.039
B_S2_D1_071-bebop_001_.wav,10,538.2266,3.31E+00,37.1094,2.86E+00,1.1579
B_S2_D1_071-bebop_002_.wav,1,65.3514,1.96E+02,29.2969,4.19E+01,4.6755
B_S2_D1_071-bebop_002_.wav,2,130.6507,1.53E+01,39.0625,1.75E+01,0.8775
B_S2_D1_071-bebop_002_.wav,3,195.4789,8.91E+00,36.1328,6.75E+00,1.3192
B_S2_D1_071-bebop_002_.wav,4,258.7891,5.19E+00,32.2266,3.65E+00,1.4205
B_S2_D1_071-bebop_002_.wav,5,324.2188,1.76E+00,31.25,2.52E+00,0.6957
B_S2_D1_071-bebop_002_.wav,6,395.5078,1.29E+01,26.3672,2.14E+01,0.6046
B_S2_D1_071-bebop_002_.wav,7,455.9383,4.73E+00,2.9297,5.26E+00,0.8986
B_S2_D1_071-bebop_002_.wav,8,522.1278,3.98E+00,31.25,2.83E+00,1.4055
B_S2_D1_071-bebop_002_.wav,9,589.8831,1.11E+01,12.6953,3.21E+00,3.4567
B_S2_D1_071-bebop_002_.wav,10,651.3672,2.34E+00,38.0859,2.51E+00,0.9343
B_S2_D1_071-bebop_003_.wav,1,61.9729,3.49E+02,24.4141,7.37E+01,4.7372
B_S2_D1_071-bebop_003_.wav,2,120.1172,9.65E+01,16.6016,5.00E+01,1.9308
B_S2_D1_071-bebop_003_.wav,3,182.1542,3.37E+01,16.6016,1.85E+01,1.8253
B_S2_D1_071-bebop_003_.wav,4,245.05,3.57E+01,33.2031,1.21E+01,2.9518
B_S2_D1_071-bebop_003_.wav,5,304.6875,1.15E+01,37.1094,8.14E+00,1.4149
B_S2_D1_071-bebop_003_.wav,6,372.0703,8.45E+01,2.9297,1.29E+01,6.5311
B_S2_D1_071-bebop_003_.wav,7,432.3753,1.18E+01,7.8125,9.35E+00,1.2671
B_S2_D1_071-bebop_003_.wav,8,492.2172,3.29E+00,36.1328,4.06E+00,0.8109
B_S2_D1_071-bebop_003_.wav,9,553.0471,1.76E+01,24.4141,3.69E+00,4.7655
B_S2_D1_071-bebop_003_.wav,10,614.4276,2.68E+00,25.3906,2.51E+00,1.0671
B_S2_D1_071-bebop_004_.wav,1,61.9295,6.60E+02,17.8571,1.37E+02,4.8273
B_S2_D1_071-bebop_004_.wav,2,124.7541,2.01E+02,36.8304,1.37E+02,1.4717
B_S2_D1_071-bebop_004_.wav,3,184.1012,8.04E+01,27.9018,5.51E+01,1.46
B_S2_D1_071-bebop_004_.wav,4,246.0815,6.50E+01,33.4821,3.15E+01,2.0647
B_S2_D1_071-bebop_004_.wav,5,310.2679,4.01E+01,35.7143,1.38E+01,2.9022
B_S2_D1_071-bebop_004_.wav,6,370.1723,8.19E+01,5.5804,1.39E+01,5.8887
B_S2_D1_071-bebop_004_.wav,7,431.3414,5.78E+01,29.0179,1.39E+01,4.1524
B_S2_D1_071-bebop_004_.wav,8,488.8393,9.74E+00,37.9464,8.15E+00,1.1951
B_S2_D1_071-bebop_004_.wav,9,551.6228,1.24E+01,32.3661,6.21E+00,1.9972
B_S2_D1_071-bebop_004_.wav,10,612.0337,7.42E+00,35.7143,3.84E+00,1.9324
B_S2_D1_072-bebop_000_.wav,1,54.4789,4.59E+02,18.5547,7.44E+01,6.1771
B_S2_D1_072-bebop_000_.wav,2,106.4453,5.43E+01,35.1562,6.15E+01,0.8825
B_S2_D1_072-bebop_000_.wav,3,163.1715,5.38E+01,19.5312,3.03E+01,1.7762
B_S2_D1_072-bebop_000_.wav,4,220.626,2.96E+01,36.1328,2.32E+01,1.278
B_S2_D1_072-bebop_000_.wav,5,275.4227,1.58E+01,36.1328,1.38E+01,1.148
B_S2_D1_072-bebop_000_.wav,6,331.0547,1.06E+01,39.0625,1.12E+01,0.9423
B_S2_D1_072-bebop_000_.wav,7,379.8828,8.43E+00,4.8828,4.88E+00,1.7262
B_S2_D1_072-bebop_000_.wav,8,437.3372,1.63E+02,6.8359,4.02E+00,40.4518
B_S2_D1_072-bebop_000_.wav,9,490.8745,3.80E+00,6.8359,3.30E+00,1.1504
B_S2_D1_072-bebop_000_.wav,10,546.9739,4.00E+00,28.3203,3.22E+00,1.2445
B_S2_D1_072-bebop_001_.wav,1,47.6554,2.61E+02,29.2969,5.26E+01,4.9664
B_S2_D1_072-bebop_001_.wav,2,95.6957,1.23E+02,32.2266,6.70E+01,1.8375
B_S2_D1_072-bebop_001_.wav,3,141.1272,3.09E+01,34.1797,3.07E+01,1.0035
B_S2_D1_072-bebop_001_.wav,4,190.7014,2.94E+01,38.0859,1.57E+01,1.867
B_S2_D1_072-bebop_001_.wav,5,240.968,1.81E+01,38.0859,1.28E+01,1.4151
B_S2_D1_072-bebop_001_.wav,6,290.0391,1.77E+01,37.1094,1.05E+01,1.6762
B_S2_D1_072-bebop_001_.wav,7,334.8017,1.06E+01,9.7656,1.24E+01,0.8538
B_S2_D1_072-bebop_001_.wav,8,379.8828,4.55E+00,9.7656,6.43E+00,0.7081
B_S2_D1_072-bebop_001_.wav,9,429.8889,7.52E+00,1.9531,5.82E+00,1.2932
B_S2_D1_072-bebop_001_.wav,10,479.099,8.63E+00,27.3438,5.58E+00,1.548
B_S2_D1_072-bebop_002_.wav,1,50.5373,3.23E+02,16.6016,4.99E+01,6.4863
B_S2_D1_072-bebop_002_.wav,2,99.2466,1.25E+02,37.1094,6.66E+01,1.8777
B_S2_D1_072-bebop_002_.wav,3,151.773,1.30E+02,24.4141,4.14E+01,3.1414
B_S2_D1_072-bebop_002_.wav,4,206.0547,3.47E+01,28.3203,1.60E+01,2.1637
